CCTV-4 中文国际欧洲,rtp://239.3.1.213:4220
TVBS亚洲,http://kt.hmysapp.cn:222/cdnlive.php?mode=play&id=fc08860f10f58de933336efe9b950d9b&token=%2A%2A%2A
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8$IPV4•线路10
TVBS亚洲,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8$IPV4•线路11
纬来体育,rtmp://f13h.mine.nu/sat/tv721$IPV4•线路1
纬来体育,http://31.43.191.125:8080/vip6821768502490/6c17bae55394/34855$IPV4•线路2
纬来体育,https://cdn.19891230.eu.org/api/VL-Sports/index.m3u8$IPV4•线路3
纬来体育,https://hls.iill.top/api/wlty/index.m3u8$IPV4•线路4
纬来体育,http://125.94.244.29:2101/1234.php?id=28&s=4%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF5
纬来体育,https://smt.1678520.xyz/163189/wlty$IPV4•线路6
纬来体育,https://ktpremium.world/live/LT1976F/A9177/877044.ts$IPV4•线路7
纬来体育,https://epg.pw/stream/8855a9936e37e608a0ec8a014cce1673dee9c5d68d560da376cc92e5edef2b25.m3u8$IPV4•线路8
纬来体育,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF9
纬来体育,https://epg.pw/stream/ab6df63b64d0cc44a1f4f029ed847a26fa54a7aebd455578fb05a63f02c22f4b.m3u8$IPV4•线路10
纬来体育,http://tv123.cc.cd/live.php?ch=1787&sid=41bcbe468a447aaf0f17f71daf5983b6&exp=1788285288&sig=3db97ab41925174af2d6ffeda28503a26320ca3c98da7c1ed57e39e68c953946%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF11
纬来体育,https://epg.pw/stream/4f18dfe0593db5c686eb64ae8edaf2a9202d4d46bdc9bbde2cee27708e12ea01.m3u8$IPV4•线路12
纬来体育,https://hls-gateway.vpstv.net/streams/477026.m3u8$IPV4•线路13
纬来体育,http://211.72.65.236:8585/.m3u8$IPV4•线路14
纬来体育,rtmp://f13h.mine.nu:1935/sat/tv721$IPV4•线路15
纬来育乐,rtmp://f13h.mine.nu/sat/tv701$IPV4•线路1
纬来育乐,http://31.43.191.125:8080/vip6821768502490/6c17bae55394/34849$IPV4•线路2
纬来育乐,http://125.94.244.29:2101/1234.php?id=31&s=4%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF3
纬来育乐,http://125.94.244.29:2101/1234.php?id=26&s=4%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF4
纬来育乐,https://hls-gateway.vpstv.net/streams/477081.m3u8$IPV4•线路5
纬来育乐,https://smart.pendy.dpdns.org/Smart.php?id=videolandyule%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF6
纬来育乐,https://live.catvod.com/live.php?id=videolandyule%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF7
纬来育乐,https://live.catvod.com/live.php?id=videolandmax%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF8
纬来育乐,http://tv123.cc.cd/live.php?ch=2368&sid=41bcbe468a447aaf0f17f71daf5983b6&exp=1788285288&sig=0fa69af7bd7e55a332e48c56c381ff1f22a203f2e6a86d1e193047a905b1d96a%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF9
厦门卫视,http://204.12.221.218:8181/3m1080p/xmws.m3u8$IPV4•线路1
厦门卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.2.11:8060$IPV4•线路2
厦门卫视,http://gat.xyys.site/cdnlive-fusion.php?mode=play&id=6519e05b08f08a507a3bd4ea71df8053&token=%2A%2A%2A
厦门卫视,http://192.151.150.154/live/xmws.m3u8$IPV4•线路4
厦门卫视,http://107.150.60.122/live/xmws.m3u8$IPV4•线路5
厦门卫视,http://198.204.228.26/live/xmws.m3u8$IPV4•线路6
厦门卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xmws%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF7
厦门卫视,http://8.138.7.223/tv/fjtv1.php?id=xmws%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF8
厦门卫视,http://192.151.150.154/live/xmws.m3u8$IPV4•线路9
厦门卫视,http://107.150.60.122/live/xmws.m3u8$IPV4•线路10
厦门卫视,http://198.204.228.26/live/xmws.m3u8$IPV4•线路11
厦门卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=xmws%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF12
厦门卫视,http://120.87.19.109:80/PLTV/88888973/224/3221225703/10000100000000060000000000334140_0.smil/01.m3u8?fmt=ts2hls%2C244%2C01.m3u8&accountinfo=UoQbCSdhOfs+Fhzpjb+WON1faRQ9pU15SBx6EULzJM%2Fq63EjPL5%2FUXSVfEKzDq3xNLdKftnEzOPe45uw59KUAQWZ1F4+6A1eDkDeh5XZlpvpn23wIF+ldb6dnBPa8zHj%2CEND&tenantId=8601%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF13
厦门卫视,http://rrs03.hw.gmcc.net:8088/PLTV/651/224/3221226695/1.m3u8$IPV4•线路14
厦门卫视,http://38.75.136.137:98/gslb/dsdqpub/xmws.m3u8?auth=%2A%2A%2A
南方卫视,http://116.77.33.98:44330/tsfile/live/1007_1.m3u8?key=%2A%2A%2A&playlive=0&authid=%2A%2A%2A
南方卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8?%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF2=
南方卫视,http://120.198.95.220:9901/tsfile/live/1012_1.m3u8?key=%2A%2A%2A&playlive=1&down=1%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF3
海峡卫视,http://8.138.7.223/tv/hxws.m3u8$IPV4•线路1
海峡卫视,http://gat.xyys.site/cdnlive-fusion.php?mode=play&id=c43d13c6d8854196ffed08f6b926baf3&token=%2A%2A%2A
海峡卫视,http://47.106.39.47:8596/aikan.php?id=hxws%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF3
海峡卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF4
海峡卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF5
海峡卫视,http://8.138.7.223/tv/hxws.m3u8$IPV4•线路6
海峡卫视,http://t.061899.xyz/tl/tl.php?id=hxws%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF7
海峡卫视,http://r.jdshipin.com/WtYt3$IPV4•线路8
海峡卫视,https://10.fast.hidns.vip/163189/hxws/$IPV4•线路9
海峡卫视,https://168.sryze.cc/163189/hxws$IPV4•线路10
海峡卫视,http://smartzhu.cn:1234/849119120$IPV4•线路11
海峡卫视,http://chen.ccwu.cc:1234/849119120$IPV4•线路12
海峡卫视,http://2280.eu.org:1234/849119120$IPV4•线路13
海峡卫视,http://by4.nty.tv189.cn/live/tm-xphxws-4000k.m3u8$IPV4•线路14
海峡卫视,http://222.134.19.49:8090/849119120$IPV4•线路15
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8$IPV4•线路1
安多卫视,https://liveout.xntv.tv/a65jur/90p2i1.m3u8?zqinghd%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF2=
安多卫视,https://liveout.xntv.tv/a65jur/90p2i1.m3u8?zqing%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF3=
安多卫视,https://liveout.xntv.tv/a65jur/90p2i1.m3u8?zqinghd%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF4=
安多卫视,https://liveout.xntv.tv/a65jur/96iln2.m3u8$IPV4•线路5
安多卫视,https://liveout.xntv.tv/a65jur/90p2i1.m3u8?zqing%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF6=
安多卫视,https://stream1.freetv.fun/52d0df257c5c3cec42f2ae19268dbbc261256ff391b27bd83553bea941d0c186.m3u8$IPV4•线路7
安多卫视,http://k.061899.xyz/k.php?id=adws%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF8
安多卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=5000000006000022124&livemode=1&stbId=yu&mode=1&%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF9=
安多卫视,http://182.135.66.163:1888/rtp/239.94.2.216:5140$IPV4•线路10
安多卫视,http://182.135.66.163:18888/rtp/239.94.2.216:5140$IPV4•线路11
安多卫视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/adws.flv$IPV4•线路12
安多卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221226195/index.m3u8$IPV4•线路13
安多卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226228/index.m3u8$IPV4•线路14
安多卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227160/index.m3u8$IPV4•线路15
康巴卫视,http://gat.xyys.site/cdnlive-fusion.php?mode=play&id=0d0eb74114ec9f0bfaa79d687cf7b6a7&token=%2A%2A%2A
康巴卫视,http://171.213.234.216:8089/rtp/239.93.0.41:5140$IPV4•线路2
康巴卫视,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=FifastbLive&Contentid=1000000005000266002&livemode=1&stbId=yu&mode=1&%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF3=
康巴卫视,http://182.135.66.163:1888/rtp/239.94.2.184:5140$IPV4•线路4
康巴卫视,http://182.135.66.163:18888/rtp/239.94.2.184:5140$IPV4•线路5
康巴卫视,http://111.202.12.159:8080/3zvkK28/1000/live.m3u8$IPV4•线路6
康巴卫视,http://111.202.12.159:8080/kYGHWzA/1000/live.m3u8$IPV4•线路7
康巴卫视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/kbws.flv$IPV4•线路8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226234/index.m3u8$IPV4•线路9
康巴卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227111/index.m3u8$IPV4•线路10
农林卫视,http://204.12.221.218:8181/3m1080p/snnl.m3u8$IPV4•线路1
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8$IPV4•线路2
农林卫视,http://gat.xyys.site/cdnlive-fusion.php?mode=play&id=5406f8e49c8db56f306ec656bbdc69e4&token=%2A%2A%2A
农林卫视,http://stream.snrtv.com/sxbc-star-dfiKO3.m3u8$IPV4•线路4
农林卫视,http://218.206.193.218:8888/hls/30/index.m3u8$IPV4•线路5
农林卫视,http://112.132.10.54:9901/tsfile/live/1034_1.m3u8?key=%2A%2A%2A&playlive=1&authid=%2A%2A%2A
农林卫视,http://45.192.97.170:8880/play/35.m3u8$IPV4•线路7
农林卫视,http://8.138.7.223/%E3%80%90%E5%85%AC%E4%BC%97%E5%8F%B7%EF%BC%9A%E6%A6%B4%E8%8A%92%E7%94%B5%E8%A7%86%E3%80%91/%E5%86%9C%E6%9E%97%E5%8D%AB%E8%A7%86.m3u8$IPV4•线路8
农林卫视,http://gslbserv.itv.cmvideo.cn:80/1000000005000266003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000266003&livemode=1&stbId=toShengfen&%2FPLTV%2F=&mode=0&yw=&%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF9=
农林卫视,http://111.59.24.227:8181/tsfile/live/1039_1.m3u8?key=%2A%2A%2A&playlive=1&authid=%2A%2A%2A
农林卫视,http://gxlive.snrtv.com/nlws-SD.m3u8$IPV4•线路11
农林卫视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/nlws.flv$IPV4•线路12
农林卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8?%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF13=
农林卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8$IPV4•线路14
农林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226229/index.m3u8$IPV4•线路15
延边卫视,http://204.12.221.218:8181/3m1080p/ybws.m3u8$IPV4•线路1
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8$IPV4•线路2
延边卫视,https://srs.iyb983.cn:443/video/CYS/index.m3u8$IPV4•线路3
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8$IPV4•线路4
延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8$IPV4•线路5
延边卫视,https://live.ybtvyun.com/video/s10006-d48b8590849c/index.m3u8$IPV4•线路6
延边卫视,$IPV4•线路7
延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8$IPV4•线路8
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8$IPV4•线路9
延边卫视,https://srs.iyb983.cn:443/video/CYS/index.m3u8$IPV4•线路10
延边卫视,http://www.rogerxlj.top:9998/rtp/233.18.204.155:5140$IPV4•线路11
延边卫视,http://yun.lei119911.xyz:5488/rtp/233.18.204.155:5140$IPV4•线路12
延边卫视,http://demo.medrun.cn:4022/rtp/233.18.204.155:5140$IPV4•线路13
延边卫视,http://nas.220620.xyz:4022/rtp/233.18.204.155:5140$IPV4•线路14
延边卫视,https://srs.iybtv.cn/video/CYS1/index.m3u8$IPV4•线路15
山东齐鲁卫视,http://39.87.249.126:8090/udp/239.253.254.114:8000$IPV4•线路1
山东齐鲁卫视,http://222.173.9.81/00/SNM/CHANNEL10000313/index.m3u8$IPV4•线路2
山东齐鲁卫视,http://222.173.9.81/00/SNM/CHANNEL00000052/index.m3u8$IPV4•线路3
山东齐鲁卫视,http://1.94.31.214/php/sdtv.php?id=sdql%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF4
山东齐鲁卫视,http://livealone302.iqilu.com/iqilu/qlpd.m3u8$IPV4•线路5
CCTV4欧洲咪咕,http://123.122.163.120:28012/rtp/239.3.1.213:4220$IPV4•线路1
CCTV4欧洲咪咕,http://fn.gcl.de5.net:5908/gsh950428/608807419$IPV4•线路2
CCTV4美洲咪咕,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00%3A1A%3A79%3A7E%3A2F%3AED&stream=156404%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF1
CCTV4美洲咪咕,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00%3A1A%3A79%3A7E%3A2F%3AED&stream=90226%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF2
CCTV4美洲咪咕,http://123.122.163.120:28012/rtp/239.3.1.214:4220$IPV4•线路3
CCTV4美洲咪咕,http://123.120.49.149:4022/rtp/239.3.1.214:4220$IPV4•线路4
CCTV4美洲咪咕,http://fn.gcl.de5.net:5908/gsh950428/608807416$IPV4•线路5
CCTV-4咪咕欧洲,http://47.106.39.47:8596/aikan.php?id=cctv4o%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF1
CCTV-4咪咕欧洲,http://t.061899.xyz/tl/tl.php?id=cctv4o%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF2
CCTV-4咪咕欧洲,http://k.061899.xyz/k.php?id=cctv4o%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF3
CCTV-4咪咕欧洲,http://smartzhu.cn:1234/608807419$IPV4•线路4
CCTV-4咪咕欧洲,http://chen.ccwu.cc:1234/608807419$IPV4•线路5
CCTV-4咪咕欧洲,http://2280.eu.org:1234/608807419$IPV4•线路6
CCTV-4咪咕欧洲,http://45.192.97.170:8880/play/18.m3u8$IPV4•线路7
CCTV-4咪咕欧洲,http://222.134.19.49:8090/608807419$IPV4•线路8
CCTV-4咪咕欧洲,http://live.bypbwxx.top/live/jmmigu1.php?token=%2A%2A%2A
CCTV-4咪咕欧洲,http://live.bypbwxx.top/live/jmmigu2.php?token=%2A%2A%2A
CCTV-4咪咕欧洲,http://115.190.247.176:1111/608807419$IPV4•线路11
CCTV-4咪咕欧洲,http://123.113.205.253:3000/608807419$IPV4•线路12
CCTV-4咪咕欧洲,http://47.104.178.59:3566/608807419$IPV4•线路13
CCTV-4咪咕欧洲,http://123.117.173.7:8118/rtp/239.3.1.213:4220$IPV4•线路14
CCTV-4咪咕欧洲,http://114.248.11.26:23456/rtp/239.3.1.213:4220$IPV4•线路15
CCTV-4咪咕美洲,http://47.106.39.47:8596/aikan.php?id=cctv4a%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF1
CCTV-4咪咕美洲,http://t.061899.xyz/tl/tl.php?id=cctv4m%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF2
CCTV-4咪咕美洲,http://k.061899.xyz/k.php?id=cctv4m%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF3
CCTV-4咪咕美洲,http://smartzhu.cn:1234/608807416$IPV4•线路4
CCTV-4咪咕美洲,http://chen.ccwu.cc:1234/608807416$IPV4•线路5
CCTV-4咪咕美洲,http://2280.eu.org:1234/608807416$IPV4•线路6
CCTV-4咪咕美洲,http://45.192.97.170:8880/play/19.m3u8$IPV4•线路7
CCTV-4咪咕美洲,http://222.134.19.49:8090/608807416$IPV4•线路8
CCTV-4咪咕美洲,video://http//wcetv.com/videos/view/liv/0$IPV4•线路9
CCTV-4咪咕美洲,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00%3A1A%3A79%3AB5%3A9F%3A70&stream=156404%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF10
CCTV-4咪咕美洲,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00%3A1A%3A79%3AB5%3A9F%3A70&stream=90226%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF11
CCTV-4咪咕美洲,http://mag.trexlive.me:80/play/live.php?extension=ts&mac=00%3A1A%3A79%3AB5%3A9F%3A70&stream=1423389%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF12
CCTV-4咪咕美洲,http://live.bypbwxx.top/live/jmmigu1.php?token=%2A%2A%2A
CCTV-4咪咕美洲,http://live.bypbwxx.top/live/jmmigu2.php?token=%2A%2A%2A
CCTV-4咪咕美洲,http://115.190.247.176:1111/608807416$IPV4•线路15
CGT西语咪咕,https://0472.org/hls/cgtnx.m3u8$IPV4•线路1
CGT西语咪咕,https://0472.org/hls/cgtnx.m3u8$IPV4•线路2
CGT阿语咪咕,https://0472.org/hls/cgtna.m3u8$IPV4•线路1
CGT阿语咪咕,https://0472.org/hls/cgtna.m3u8$IPV4•线路2
CGT法语咪咕,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8$IPV4•线路1
CGT法语咪咕,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8$IPV4•线路2
家庭影院咪咕,http://z.b.bkpcp.top/m.php?id=jtyy%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF1
家庭影院咪咕,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8$IPV4•线路2
动作电影咪咕,http://live.metshop.top/huya/11602077$IPV4•线路1
动作电影咪咕,http://live.metshop.top/huya/11602077$IPV4•线路2
军事大片咪咕,http://k.061899.xyz/k.php?id=jsm%24IPV4
热剧联播咪咕,http://47.106.39.47:8596/aikan.php?id=tjlb%24IPV4
新片映厅咪咕,http://k.061899.xyz/k.php?id=xpdy%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF1
新片映厅咪咕,http://smartzhu.cn:1234/619495952$IPV4•线路2
新片映厅咪咕,http://chen.ccwu.cc:1234/619495952$IPV4•线路3
新片映厅咪咕,http://2280.eu.org:1234/619495952$IPV4•线路4
新片映厅咪咕,http://fn.gcl.de5.net:5908/gsh950428/619495952$IPV4•线路5
新片映厅咪咕,http://115.190.247.176:1111/619495952$IPV4•线路6
新片映厅咪咕,http://123.113.205.253:3000/619495952$IPV4•线路7
新片映厅咪咕,http://47.104.178.59:3566/619495952$IPV4•线路8
新片映厅咪咕,http://120.48.113.49:6006/619495952$IPV4•线路9
新片映厅咪咕,http://119.233.255.62:1234/619495952$IPV4•线路10
新片映厅咪咕,http://tv123.cc.cd/live.php?ch=2698&sid=41bcbe468a447aaf0f17f71daf5983b6&exp=1788285288&sig=284b17823e34c7373a3317966a5ebc45a5ddba5cfc92b3d6d75f0eb01e04ac3e%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF11
新片映厅咪咕,http://hlsztemgsplive.miguvideo.com:8080/wd-virtuallive5100030975-75/index.m3u8?msisdn=20260901100109c38f5e6075bf47479468ce137a152c2a&mdspid=&spid=800033&netType=0&sid=5500035175&pid=2028597139&timestamp=20260901100109&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=619495952&ParentNodeID=-99&assertID=5500035175&client_ip=171.8.79.254&SecurityKey=20260901100109&promotionId=&mvid=5100030975&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=fd406c3563103e8e70d5b7f176d4954e%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF12
新片映厅咪咕,http://113.98.11.46:3000/619495952$IPV4•线路13
新片映厅咪咕,https://live.chinacert.cftest5.cn/cnmg/live/619495952$IPV4•线路14
新片映厅咪咕,http://223.167.209.88:1234/619495952$IPV4•线路15
Y+剧场台咪咕,http://hms3659nc3747353871.live.aikan.miguvideo.com/PLTV/88888888/224/3221230226/1.m3u8?tenantId=8601&accountinfo=~~V2.0~SSxnh2gPZaV_9wZMz86ofwc38bf04ecfc078f584095a9c6e91b9e1~3twbaBwUaqzfkJ5qW9C0gp1C11OJXhanim-P8XrfoHFX-jV3R0FL2wbo-VR8pOhzd5938d01ed8f640cebb709a281e7b1d3~ExtInfo9W1qynAo8QtSBzK-JlHBbQ3bb1f3410d135b117fdf58086980a86d%3A20240603131532%3AUTC%2Cc864060416ccf5986b3e5940417477879245774%2C117.148.130.144%2C20240603131532%2C4444444684%2Cc864060416ccf5986b3e5940417477879245774%2C-1%2C0%2C1%2C%2C%2C2%2C1000000201%2C%2C%2C2%2C23%2C0%2C241%2C9ec0a2dcdcfd4259318d50a38cde552c%2C%2C%2C1%2C1%2C140151867%2CEND&fbl=%24IPV4
东森幼幼,http://tv123.cc.cd/live.php?ch=1518&sid=41bcbe468a447aaf0f17f71daf5983b6&exp=1788285288&sig=cff6441bca550371cd614c38f4c6763451c4fa076a30cd4af7ed237b9a00558c%24IPV4
iFun动漫,https://litv.tzh911.qzz.io/litv.php?id=litv-ftv15&token=%2A%2A%2A
momo亲子,https://live.ottiptv.cc/huya/23352563$IPV4
黑莓动画,http://1.94.31.214/php/py/k-web/ku9/py/socks5.py?ip=111.43.114.137%3A1080&u=http%3A%2F%2Fottrrs.hl.chinamobile.com%2FPLTV%2F88888888%2F224%2F3221225662%2Findex.m3u8%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF1
黑莓动画,http://111.29.9.33:6610/000000001000/1000000004000021734/index.m3u8?channel-id=bestzb&Contentid=1000000004000021734&livemode=1&stbId=3%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF2
黑莓动画,https://live.264788.xyz/channel/heimeidonghua?streamid=e28cd42e24738c192f5bf90ad9b909da&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF3
黑莓动画,https://live.264788.xyz/channel/heimeidonghua?streamid=7e2280fb52eae0bc10c4fa7c703196ae&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF4
黑莓动画,http://gslbserv.itv.cmvideo.cn:80/1000000004000021734/1.m3u8?channel-id=ystenlive&Contentid=1000000004000021734&livemode=1&stbId=toShengfen&%2FPLTV%2F=&mode=0&yw=&%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF5=
黑莓动画,http://gslbserv.itv.cmvideo.cn:80/6497762188035533951/1.m3u8?channel-id=ystenlive&Contentid=6497762188035533951&livemode=1&stbId=toShengfen&%2FPLTV%2F=&mode=0&yw=&%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF6=
黑莓动画,http://111.43.126.240:9003/hls/100/index.m3u8$IPV4•线路7
靖洋卡通,https://litv.tzh911.qzz.io/litv.php?id=4gtv-4gtv057&token=%2A%2A%2A
靖洋卡通,http://220.135.64.124:5050/of-4gtv-4gtv057/index.m3u8?proxy=true%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF2
靖洋卡通,http://31.43.191.125:8080/vip6821768502490/6c17bae55394/34834$IPV4•线路3
靖洋卡通,http://tv123.cc.cd/live.php?ch=1552&sid=41bcbe468a447aaf0f17f71daf5983b6&exp=1788285288&sig=9dca48e503a9e4f35f33dcb3048226f0adaa5e5ce3fa2acf7715a2f0fc7f401b%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF4
广东少儿,http://119.32.12.17:2901/udp/224.1.100.9:11111$IPV4•线路1
广东少儿,http://120.87.19.109:80/PLTV/88888973/224/3221225727/10000100000000060000000000334183_0.smil/01.m3u8?fmt=ts2hls%2C244%2C01.m3u8&accountinfo=UoQbCSdhOfs+Fhzpjb+WON1faRQ9pU15SBx6EULzJM%2Fq63EjPL5%2FUXSVfEKzDq3xMUv%2FgTuI5DDcfzACpClQ3gWZ1F4+6A1eDkDeh5XZlpvpn23wIF+ldb6dnBPa8zHj%2CEND&tenantId=8601%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF2
广东少儿,http://38.75.136.137:98/gslb/dsdqpub/gdtvs5.m3u8?auth=%2A%2A%2A
广东少儿,http://107.150.60.122/live/gdtvs5.m3u8$IPV4•线路4
广东少儿,http://192.151.150.154/live/gdtvs5.m3u8$IPV4•线路5
广东少儿,http://198.204.228.26/live/gdtvs5.m3u8$IPV4•线路6
广东少儿,http://www.yahao.host:4022/udp/239.77.0.250:5146$IPV4•线路7
广东少儿,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdtvs5%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF8
广东少儿,http://bak.dou.ddns-ip.net/api.php?n=cctvxxx&id=6ar7S3&tk=zUr4K92Dl6kh%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF9
广东少儿,http://gmxw.7766.org:808/hls/175/index.m3u8$IPV4•线路10
广东少儿,http://119.32.12.17:2901/udp/224.1.100.9:11111$IPV4•线路11
CHC高清电影,rtsp://183.59.56.116:554/PLTV/88888905/224/3221230008/10000100000000060000000010481261_0.smil?0=&accountinfo=~~V2.0~08zSQD91Uwj13p7HUFLHNw~zJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw%3D-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2%24IPV4%E2%80%A2%E7%BA%BF%E8%B7%AF1
CHC高清电影,http://60.255.240.247:8090/live/lnwsCHC-HDH265_4000.m3u8$IPV4•线路2
CHC高清电影,http://124.165.232.26:8083/rtp/226.0.2.93:8004$IPV4•线路3
